Parent	Type	Child	Weight	Probability	Score
ZAP70	+	NBAS	0.929367	0.000000	NaN
ISG20	+	NBAS	1.339313	0.000000	NaN
CD69	+	NBAS	0.399837	0.000000	NaN
SLC38A1	-	NBAS	-1.236223	0.000000	NaN
LY9	+	NBAS	1.452183	0.000000	NaN
HSPA8	-	NBAS	-0.003676	0.000000	NaN
EVL	-	NBAS	-1.847128	0.000000	NaN
TOX	-	NBAS	-4.152181	0.000000	NaN
TRAT1	+	NBAS	1.688803	0.000000	NaN
LAIR2	+	NBAS	1.557822	0.000000	NaN
CD82	+	NBAS	4.147231	0.000000	NaN
ACTB	+	CD3E	0.003114	0.000000	NaN
TIGIT	-	CD3E	-1.514699	0.000000	NaN
BIRC3	-	CD3E	-0.375843	0.000000	NaN
SLAMF1	+	CD3E	1.696263	0.000000	NaN
CST7	+	CD3E	0.255965	0.000000	NaN
SAMSN1	-	CD3E	-1.509567	0.000000	NaN
HLA-DQA1	+	CD3E	0.075009	0.000000	NaN
TMSB4X	-	CD3E	-0.111489	0.000000	NaN
TRBV4-1	-	CD3E	-0.082637	0.000000	NaN
PTGER4	+	CD3E	0.793583	0.000000	NaN
RHOH	-	CD3E	-1.977276	0.000000	NaN
SH2D1A	-	CD3E	-0.833855	0.000000	NaN
NBAS	+	CD3E	0.430421	0.000000	NaN
CD3E	+	CD3E	4.007746	0.000000	NaN
ALOX5AP	+	CD3E	0.281268	0.000000	NaN
SKAP1	+	CD3E	1.323036	0.000000	NaN
LIME1	+	CD3E	2.820634	0.000000	NaN
TNFRSF4	+	CD3E	0.197613	0.000000	NaN
SEPT1	+	CD3E	1.546994	0.000000	NaN
TMC8	+	CD3E	2.879003	0.000000	NaN
HLA-DPA1	+	CD3E	0.040985	0.000000	NaN
IL2RG	+	CD3E	1.037544	0.000000	NaN
GNLY	+	CD3E	0.368321	0.000000	NaN
CD3G	+	CD3E	2.068584	0.000000	NaN
PTPN7	-	CD3E	-1.550295	0.000000	NaN
SIT1	+	CD3E	2.148489	0.000000	NaN
ZFP36L2	+	CD3E	9.621380	0.000000	NaN
TMSB10	-	CD3E	-0.107024	0.000000	NaN
IKZF3	+	CD3E	1.636692	0.000000	NaN
ITM2A	-	CD3E	-1.854837	0.000000	NaN
TAGAP	+	CD3E	7.082321	0.000000	NaN
S100A10	-	CD3E	-0.095720	0.000000	NaN
TRAC	+	CD3E	5.100968	0.000000	NaN
C12orf75	+	CD3E	0.921829	0.000000	NaN
CD96	+	CD3E	2.833529	0.000000	NaN
SLC9A3R1	-	CD3E	-1.908405	0.000000	NaN
DUSP2	-	CD3E	-0.466351	0.000000	NaN
SELL	-	CD3E	-2.025954	0.000000	NaN
TRBC1	+	CD3E	6.440331	0.000000	NaN
HLA-DRB5	+	CD3E	0.076675	0.000000	NaN
CXCR4	+	CD3E	1.690671	0.000000	NaN
SRGN	-	CD3E	-0.129228	0.000000	NaN
RASAL3	+	CD3E	3.367368	0.000000	NaN
LAT	-	CD3E	-1.693858	0.000000	NaN
CD2	+	CD3E	1.531627	0.000000	NaN
IL7R	+	CD3E	5.263379	0.000000	NaN
SYTL1	+	CD3E	3.347937	0.000000	NaN
S100A4	-	CD3E	-0.214426	0.000000	NaN
CD40LG	-	CD3E	-0.206003	0.000000	NaN
PTPRCAP	+	CD3E	2.441806	0.000000	NaN
LTB	+	CD3E	2.532362	0.000000	NaN
GATA3	+	CD3E	1.708673	0.000000	NaN
LCK	+	CD3E	1.178817	0.000000	NaN
BATF	+	CD3E	1.320703	0.000000	NaN
TRBC2	+	CD3E	4.175290	0.000000	NaN
GZMA	+	CD3E	3.810919	0.000000	NaN
TNFRSF25	+	CD3E	1.056293	0.000000	NaN
KIAA1551	+	CD3E	1.607412	0.000000	NaN
CXCR3	-	CD3E	-0.376696	0.000000	NaN
DDIT4	+	CD3E	2.138861	0.000000	NaN
TC2N	+	CD3E	3.851629	0.000000	NaN
GZMM	+	CD3E	4.937839	0.000000	NaN
SH2D2A	+	CD3E	1.223452	0.000000	NaN
ITK	+	CD3E	6.341242	0.000000	NaN
HLA-DRB1	+	CD3E	0.044010	0.000000	NaN
TSPAN13	+	CD3E	0.547752	0.000000	NaN
RGS1	-	CD3E	-0.790524	0.000000	NaN
APOBEC3G	-	CD3E	-1.711920	0.000000	NaN
PIM2	+	CD3E	2.873374	0.000000	NaN
TUBA4A	+	CD3E	0.454306	0.000000	NaN
RARRES3	-	CD3E	-0.202210	0.000000	NaN
TCF7	-	CD3E	-2.238214	0.000000	NaN
KLRB1	+	CD3E	3.194812	0.000000	NaN
GIMAP7	+	CD3E	6.547321	0.000000	NaN
CD247	+	CD3E	4.853387	0.000000	NaN
PGM2L1	+	CD3E	3.043722	0.000000	NaN
CD3D	+	CD3E	6.332254	0.000000	NaN
IL22	-	CD3E	-0.005454	0.000000	NaN
CCL5	+	CD3E	3.296962	0.000000	NaN
CLEC2D	+	CD3E	2.284167	0.000000	NaN
CAMK4	+	CD3E	2.749242	0.000000	NaN
TRAV8-2	+	CD3E	6.555312	0.000000	NaN
CD74	+	CD3E	0.036276	0.000000	NaN
CD28	-	CD3E	-0.837603	0.000000	NaN
TNFRSF18	+	CD3E	1.694988	0.000000	NaN
CD52	+	CD3E	1.983623	0.000000	NaN
IL32	-	CD3E	-0.105698	0.000000	NaN
TRAV8-3	+	CD3E	0.158139	0.000000	NaN
ZAP70	+	CD3E	0.656230	0.000000	NaN
ISG20	+	CD3E	4.638255	0.000000	NaN
CD69	+	CD3E	2.370994	0.000000	NaN
SLC38A1	+	CD3E	2.641288	0.000000	NaN
LY9	+	CD3E	0.570643	0.000000	NaN
HSPA8	-	CD3E	-0.198963	0.000000	NaN
EVL	-	CD3E	-1.090732	0.000000	NaN
TOX	-	CD3E	-2.760947	0.000000	NaN
TRAT1	+	CD3E	3.405734	0.000000	NaN
LAIR2	+	CD3E	1.632503	0.000000	NaN
CD82	-	CD3E	-1.247168	0.000000	NaN
ACTB	-	ALOX5AP	-0.036983	0.000000	NaN
TIGIT	-	ALOX5AP	-0.150525	0.000000	NaN
BIRC3	+	ALOX5AP	0.174710	0.000000	NaN
SLAMF1	+	ALOX5AP	2.706202	0.000000	NaN
CST7	+	ALOX5AP	1.052039	0.000000	NaN
SAMSN1	+	ALOX5AP	0.329593	0.000000	NaN
HLA-DQA1	-	ALOX5AP	-0.012579	0.000000	NaN
TMSB4X	-	ALOX5AP	-0.003817	0.000000	NaN
TRBV4-1	-	ALOX5AP	-0.065843	0.000000	NaN
PTGER4	+	ALOX5AP	2.335106	0.000000	NaN
RHOH	-	ALOX5AP	-0.356952	0.000000	NaN
SH2D1A	-	ALOX5AP	-1.433787	0.000000	NaN
NBAS	+	ALOX5AP	0.586906	0.000000	NaN
CD3E	+	ALOX5AP	3.542949	0.000000	NaN
ALOX5AP	+	ALOX5AP	0.634625	0.000000	NaN
SKAP1	-	ALOX5AP	-0.367946	0.000000	NaN
LIME1	+	ALOX5AP	0.382861	0.000000	NaN
TNFRSF4	+	ALOX5AP	0.095043	0.000000	NaN
SEPT1	+	ALOX5AP	1.683132	0.000000	NaN
TMC8	+	ALOX5AP	2.983965	0.000000	NaN
HLA-DPA1	-	ALOX5AP	-0.010066	0.000000	NaN
IL2RG	+	ALOX5AP	2.906719	0.000000	NaN
GNLY	+	ALOX5AP	0.325279	0.000000	NaN
CD3G	+	ALOX5AP	0.837227	0.000000	NaN
PTPN7	+	ALOX5AP	2.115383	0.000000	NaN
SIT1	+	ALOX5AP	1.106598	0.000000	NaN
ZFP36L2	+	ALOX5AP	7.484674	0.000000	NaN
TMSB10	+	ALOX5AP	0.038182	0.000000	NaN
IKZF3	-	ALOX5AP	-0.346165	0.000000	NaN
ITM2A	-	ALOX5AP	-1.813540	0.000000	NaN
TAGAP	+	ALOX5AP	6.687625	0.000000	NaN
S100A10	+	ALOX5AP	0.118683	0.000000	NaN
TRAC	+	ALOX5AP	4.244884	0.000000	NaN
C12orf75	+	ALOX5AP	3.467516	0.000000	NaN
CD96	+	ALOX5AP	1.142387	0.000000	NaN
SLC9A3R1	-	ALOX5AP	-2.264789	0.000000	NaN
DUSP2	+	ALOX5AP	0.440956	0.000000	NaN
SELL	-	ALOX5AP	-0.879733	0.000000	NaN
TRBC1	+	ALOX5AP	6.054651	0.000000	NaN
HLA-DRB5	-	ALOX5AP	-0.015496	0.000000	NaN
CXCR4	+	ALOX5AP	2.028401	0.000000	NaN
SRGN	+	ALOX5AP	0.039916	0.000000	NaN
RASAL3	+	ALOX5AP	2.935234	0.000000	NaN
LAT	+	ALOX5AP	0.316571	0.000000	NaN
CD2	+	ALOX5AP	0.838723	0.000000	NaN
IL7R	+	ALOX5AP	5.269300	0.000000	NaN
SYTL1	+	ALOX5AP	3.064587	0.000000	NaN
S100A4	+	ALOX5AP	0.254711	0.000000	NaN
CD40LG	-	ALOX5AP	-0.312916	0.000000	NaN
PTPRCAP	+	ALOX5AP	1.355140	0.000000	NaN
LTB	+	ALOX5AP	0.336333	0.000000	NaN
GATA3	-	ALOX5AP	-1.093624	0.000000	NaN
LCK	+	ALOX5AP	1.003194	0.000000	NaN
BATF	+	ALOX5AP	1.240662	0.000000	NaN
TRBC2	+	ALOX5AP	2.086262	0.000000	NaN
GZMA	+	ALOX5AP	1.842917	0.000000	NaN
TNFRSF25	+	ALOX5AP	0.555642	0.000000	NaN
KIAA1551	+	ALOX5AP	0.768889	0.000000	NaN
CXCR3	+	ALOX5AP	2.437568	0.000000	NaN
DDIT4	+	ALOX5AP	2.287478	0.000000	NaN
TC2N	+	ALOX5AP	2.859318	0.000000	NaN
GZMM	+	ALOX5AP	2.019773	0.000000	NaN
SH2D2A	+	ALOX5AP	2.227974	0.000000	NaN
ITK	+	ALOX5AP	5.423808	0.000000	NaN
HLA-DRB1	-	ALOX5AP	-0.006441	0.000000	NaN
TSPAN13	-	ALOX5AP	-0.306874	0.000000	NaN
RGS1	-	ALOX5AP	-0.301621	0.000000	NaN
APOBEC3G	-	ALOX5AP	-0.227350	0.000000	NaN
PIM2	+	ALOX5AP	3.262310	0.000000	NaN
TUBA4A	+	ALOX5AP	0.161673	0.000000	NaN
RARRES3	+	ALOX5AP	0.280560	0.000000	NaN
TCF7	-	ALOX5AP	-0.490388	0.000000	NaN
KLRB1	-	ALOX5AP	-0.405648	0.000000	NaN
GIMAP7	+	ALOX5AP	7.302140	0.000000	NaN
CD247	+	ALOX5AP	4.729388	0.000000	NaN
PGM2L1	+	ALOX5AP	3.240675	0.000000	NaN
CD3D	+	ALOX5AP	2.300289	0.000000	NaN
IL22	+	ALOX5AP	0.067867	0.000000	NaN
CCL5	+	ALOX5AP	1.230239	0.000000	NaN
CLEC2D	+	ALOX5AP	1.786349	0.000000	NaN
CAMK4	+	ALOX5AP	3.643025	0.000000	NaN
TRAV8-2	+	ALOX5AP	4.325084	0.000000	NaN
CD74	-	ALOX5AP	-0.008496	0.000000	NaN
CD28	-	ALOX5AP	-0.711495	0.000000	NaN
TNFRSF18	+	ALOX5AP	3.721542	0.000000	NaN
CD52	+	ALOX5AP	2.874742	0.000000	NaN
IL32	+	ALOX5AP	0.005704	0.000000	NaN
TRAV8-3	-	ALOX5AP	-2.507061	0.000000	NaN
ZAP70	+	ALOX5AP	2.464069	0.000000	NaN
ISG20	+	ALOX5AP	4.579645	0.000000	NaN
CD69	+	ALOX5AP	1.626657	0.000000	NaN
SLC38A1	-	ALOX5AP	-0.065885	0.000000	NaN
LY9	-	ALOX5AP	-0.216835	0.000000	NaN
HSPA8	-	ALOX5AP	-0.029728	0.000000	NaN
EVL	-	ALOX5AP	-1.841092	0.000000	NaN
TOX	-	ALOX5AP	-3.021188	0.000000	NaN
TRAT1	+	ALOX5AP	3.053597	0.000000	NaN
LAIR2	+	ALOX5AP	2.256875	0.000000	NaN
CD82	-	ALOX5AP	-0.958111	0.000000	NaN
ACTB	-	SKAP1	-0.010813	0.000000	NaN
TIGIT	-	SKAP1	-0.011848	0.000000	NaN
BIRC3	-	SKAP1	-0.103380	0.000000	NaN
SLAMF1	+	SKAP1	0.319167	0.000000	NaN
CST7	+	SKAP1	0.087743	0.000000	NaN
SAMSN1	-	SKAP1	-0.375813	0.000000	NaN
HLA-DQA1	+	SKAP1	0.005935	0.000000	NaN
TMSB4X	-	SKAP1	-0.023496	0.000000	NaN
TRBV4-1	-	SKAP1	-0.025769	0.000000	NaN
PTGER4	+	SKAP1	0.409891	0.000000	NaN
RHOH	-	SKAP1	-0.493428	0.000000	NaN
SH2D1A	+	SKAP1	0.385458	0.000000	NaN
NBAS	+	SKAP1	0.034633	0.000000	NaN
CD3E	+	SKAP1	0.528016	0.000000	NaN
ALOX5AP	-	SKAP1	-0.106931	0.000000	NaN
SKAP1	-	SKAP1	-0.091504	0.000000	NaN
LIME1	+	SKAP1	0.514141	0.000000	NaN
TNFRSF4	-	SKAP1	-0.024434	0.000000	NaN
SEPT1	+	SKAP1	0.486287	0.000000	NaN
TMC8	+	SKAP1	0.643618	0.000000	NaN
HLA-DPA1	+	SKAP1	0.003409	0.000000	NaN
IL2RG	+	SKAP1	0.433954	0.000000	NaN
GNLY	+	SKAP1	0.149105	0.000000	NaN
CD3G	+	SKAP1	0.158030	0.000000	NaN
PTPN7	+	SKAP1	0.336143	0.000000	NaN
SIT1	-	SKAP1	-0.493129	0.000000	NaN
ZFP36L2	+	SKAP1	1.843854	0.000000	NaN
TMSB10	-	SKAP1	-0.036440	0.000000	NaN
IKZF3	-	SKAP1	-0.298666	0.000000	NaN
ITM2A	-	SKAP1	-0.493666	0.000000	NaN
TAGAP	+	SKAP1	1.979563	0.000000	NaN
S100A10	-	SKAP1	-0.036342	0.000000	NaN
TRAC	+	SKAP1	0.735856	0.000000	NaN
C12orf75	+	SKAP1	0.723406	0.000000	NaN
CD96	+	SKAP1	0.763695	0.000000	NaN
SLC9A3R1	-	SKAP1	-0.402648	0.000000	NaN
DUSP2	-	SKAP1	-0.070583	0.000000	NaN
SELL	-	SKAP1	-0.674063	0.000000	NaN
TRBC1	+	SKAP1	1.764359	0.000000	NaN
HLA-DRB5	+	SKAP1	0.006770	0.000000	NaN
CXCR4	+	SKAP1	0.556628	0.000000	NaN
SRGN	-	SKAP1	-0.048375	0.000000	NaN
RASAL3	+	SKAP1	0.490330	0.000000	NaN
LAT	-	SKAP1	-0.548495	0.000000	NaN
CD2	+	SKAP1	0.854931	0.000000	NaN
IL7R	+	SKAP1	0.859438	0.000000	NaN
SYTL1	+	SKAP1	0.837857	0.000000	NaN
S100A4	-	SKAP1	-0.047966	0.000000	NaN
CD40LG	-	SKAP1	-0.089836	0.000000	NaN
PTPRCAP	+	SKAP1	0.469929	0.000000	NaN
LTB	+	SKAP1	0.425512	0.000000	NaN
GATA3	+	SKAP1	0.983920	0.000000	NaN
LCK	+	SKAP1	1.006500	0.000000	NaN
BATF	+	SKAP1	0.253675	0.000000	NaN
TRBC2	+	SKAP1	0.461492	0.000000	NaN
GZMA	+	SKAP1	1.225952	0.000000	NaN
TNFRSF25	-	SKAP1	-0.618268	0.000000	NaN
KIAA1551	+	SKAP1	0.722821	0.000000	NaN
CXCR3	+	SKAP1	0.538509	0.000000	NaN
DDIT4	+	SKAP1	0.161508	0.000000	NaN
TC2N	+	SKAP1	0.603606	0.000000	NaN
GZMM	+	SKAP1	0.711415	0.000000	NaN
SH2D2A	-	SKAP1	-0.171090	0.000000	NaN
ITK	+	SKAP1	1.445335	0.000000	NaN
HLA-DRB1	+	SKAP1	0.003329	0.000000	NaN
TSPAN13	+	SKAP1	0.043821	0.000000	NaN
RGS1	-	SKAP1	-0.209564	0.000000	NaN
APOBEC3G	+	SKAP1	0.054607	0.000000	NaN
PIM2	+	SKAP1	1.228769	0.000000	NaN
TUBA4A	-	SKAP1	-0.314728	0.000000	NaN
RARRES3	-	SKAP1	-0.185400	0.000000	NaN
TCF7	-	SKAP1	-0.076202	0.000000	NaN
KLRB1	+	SKAP1	0.513901	0.000000	NaN
GIMAP7	+	SKAP1	1.789017	0.000000	NaN
CD247	+	SKAP1	0.956942	0.000000	NaN
PGM2L1	+	SKAP1	0.373806	0.000000	NaN
CD3D	+	SKAP1	0.791241	0.000000	NaN
IL22	-	SKAP1	-0.006499	0.000000	NaN
CCL5	+	SKAP1	0.467712	0.000000	NaN
CLEC2D	+	SKAP1	0.754323	0.000000	NaN
CAMK4	+	SKAP1	0.411568	0.000000	NaN
TRAV8-2	+	SKAP1	1.438112	0.000000	NaN
CD74	+	SKAP1	0.002339	0.000000	NaN
CD28	-	SKAP1	-1.078320	0.000000	NaN
TNFRSF18	+	SKAP1	0.413505	0.000000	NaN
CD52	+	SKAP1	0.478448	0.000000	NaN
IL32	-	SKAP1	-0.007306	0.000000	NaN
TRAV8-3	+	SKAP1	0.094918	0.000000	NaN
ZAP70	+	SKAP1	0.698479	0.000000	NaN
ISG20	+	SKAP1	1.072047	0.000000	NaN
CD69	+	SKAP1	0.521515	0.000000	NaN
SLC38A1	+	SKAP1	0.217395	0.000000	NaN
LY9	-	SKAP1	-0.015078	0.000000	NaN
HSPA8	-	SKAP1	-0.109726	0.000000	NaN
EVL	-	SKAP1	-0.572375	0.000000	NaN
TOX	-	SKAP1	-1.022265	0.000000	NaN
TRAT1	+	SKAP1	0.930154	0.000000	NaN
LAIR2	+	SKAP1	0.207659	0.000000	NaN
CD82	-	SKAP1	-0.322409	0.000000	NaN
ACTB	-	LIME1	-0.006995	0.000000	NaN
TIGIT	+	LIME1	0.298222	0.000000	NaN
BIRC3	-	LIME1	-0.027392	0.000000	NaN
SLAMF1	+	LIME1	0.317447	0.000000	NaN
CST7	+	LIME1	0.018456	0.000000	NaN
SAMSN1	-	LIME1	-0.232970	0.000000	NaN
HLA-DQA1	+	LIME1	0.002140	0.000000	NaN
TMSB4X	-	LIME1	-0.009955	0.000000	NaN
TRBV4-1	+	LIME1	0.009765	0.000000	NaN
PTGER4	+	LIME1	0.037716	0.000000	NaN
RHOH	+	LIME1	0.002173	0.000000	NaN
SH2D1A	-	LIME1	-0.203120	0.000000	NaN
NBAS	+	LIME1	0.016539	0.000000	NaN
CD3E	+	LIME1	0.532531	0.000000	NaN
ALOX5AP	+	LIME1	0.331003	0.000000	NaN
SKAP1	-	LIME1	-0.036664	0.000000	NaN
LIME1	+	LIME1	0.066145	0.000000	NaN
TNFRSF4	+	LIME1	0.154760	0.000000	NaN
SEPT1	-	LIME1	-0.063996	0.000000	NaN
TMC8	+	LIME1	0.661089	0.000000	NaN
HLA-DPA1	+	LIME1	0.001478	0.000000	NaN
IL2RG	+	LIME1	0.504953	0.000000	NaN
GNLY	+	LIME1	0.050707	0.000000	NaN
CD3G	+	LIME1	0.048909	0.000000	NaN
PTPN7	-	LIME1	-0.395570	0.000000	NaN
SIT1	+	LIME1	0.592754	0.000000	NaN
ZFP36L2	+	LIME1	1.586149	0.000000	NaN
TMSB10	-	LIME1	-0.020674	0.000000	NaN
IKZF3	+	LIME1	0.509620	0.000000	NaN
ITM2A	-	LIME1	-0.235699	0.000000	NaN
TAGAP	+	LIME1	1.224299	0.000000	NaN
S100A10	-	LIME1	-0.022619	0.000000	NaN
TRAC	+	LIME1	0.482946	0.000000	NaN
C12orf75	+	LIME1	0.545648	0.000000	NaN
CD96	+	LIME1	0.194432	0.000000	NaN
SLC9A3R1	-	LIME1	-0.388797	0.000000	NaN
DUSP2	-	LIME1	-0.016627	0.000000	NaN
SELL	-	LIME1	-0.349696	0.000000	NaN
TRBC1	+	LIME1	1.101845	0.000000	NaN
HLA-DRB5	+	LIME1	0.002770	0.000000	NaN
CXCR4	+	LIME1	0.224534	0.000000	NaN
SRGN	-	LIME1	-0.031265	0.000000	NaN
RASAL3	+	LIME1	0.520180	0.000000	NaN
LAT	-	LIME1	-0.258705	0.000000	NaN
CD2	+	LIME1	0.640326	0.000000	NaN
IL7R	+	LIME1	0.636757	0.000000	NaN
SYTL1	+	LIME1	0.254790	0.000000	NaN
S100A4	-	LIME1	-0.019045	0.000000	NaN
CD40LG	-	LIME1	-0.018180	0.000000	NaN
PTPRCAP	+	LIME1	0.429211	0.000000	NaN
LTB	+	LIME1	0.228457	0.000000	NaN
GATA3	+	LIME1	0.705032	0.000000	NaN
LCK	+	LIME1	0.456478	0.000000	NaN
BATF	+	LIME1	0.272574	0.000000	NaN
TRBC2	+	LIME1	0.496931	0.000000	NaN
GZMA	+	LIME1	0.403909	0.000000	NaN
TNFRSF25	-	LIME1	-0.025579	0.000000	NaN
KIAA1551	+	LIME1	0.400772	0.000000	NaN
CXCR3	-	LIME1	-0.203202	0.000000	NaN
DDIT4	+	LIME1	0.293795	0.000000	NaN
TC2N	+	LIME1	0.539925	0.000000	NaN
GZMM	+	LIME1	0.005756	0.000000	NaN
SH2D2A	-	LIME1	-0.110394	0.000000	NaN
ITK	+	LIME1	0.885129	0.000000	NaN
HLA-DRB1	+	LIME1	0.001427	0.000000	NaN
TSPAN13	-	LIME1	-0.038713	0.000000	NaN
RGS1	-	LIME1	-0.018960	0.000000	NaN
APOBEC3G	-	LIME1	-0.448869	0.000000	NaN
PIM2	+	LIME1	0.362170	0.000000	NaN
TUBA4A	-	LIME1	-0.011201	0.000000	NaN
RARRES3	-	LIME1	-0.118140	0.000000	NaN
TCF7	-	LIME1	-0.038316	0.000000	NaN
KLRB1	+	LIME1	0.546791	0.000000	NaN
GIMAP7	+	LIME1	0.571293	0.000000	NaN
CD247	+	LIME1	0.600503	0.000000	NaN
PGM2L1	+	LIME1	0.760598	0.000000	NaN
CD3D	+	LIME1	0.473970	0.000000	NaN
IL22	+	LIME1	0.018684	0.000000	NaN
CCL5	+	LIME1	0.396900	0.000000	NaN
CLEC2D	+	LIME1	0.318619	0.000000	NaN
CAMK4	+	LIME1	0.300810	0.000000	NaN
TRAV8-2	+	LIME1	0.609461	0.000000	NaN
CD74	+	LIME1	0.000894	0.000000	NaN
CD28	-	LIME1	-0.428471	0.000000	NaN
TNFRSF18	-	LIME1	-0.099087	0.000000	NaN
CD52	+	LIME1	0.307915	0.000000	NaN
IL32	+	LIME1	0.011394	0.000000	NaN
TRAV8-3	+	LIME1	0.057640	0.000000	NaN
ZAP70	+	LIME1	0.291123	0.000000	NaN
ISG20	+	LIME1	0.801564	0.000000	NaN
CD69	+	LIME1	0.365989	0.000000	NaN
SLC38A1	+	LIME1	0.001847	0.000000	NaN
LY9	+	LIME1	0.019602	0.000000	NaN
HSPA8	-	LIME1	-0.037287	0.000000	NaN
EVL	+	LIME1	0.348873	0.000000	NaN
TOX	-	LIME1	-0.358545	0.000000	NaN
TRAT1	+	LIME1	0.288537	0.000000	NaN
LAIR2	+	LIME1	0.160009	0.000000	NaN
CD82	-	LIME1	-0.125900	0.000000	NaN
ACTB	-	TNFRSF4	-0.010061	0.000000	NaN
TIGIT	+	TNFRSF4	1.214158	0.000000	NaN
BIRC3	+	TNFRSF4	0.329873	0.000000	NaN
SLAMF1	-	TNFRSF4	-1.504621	0.000000	NaN
CST7	+	TNFRSF4	0.039880	0.000000	NaN
SAMSN1	+	TNFRSF4	2.608043	0.000000	NaN
HLA-DQA1	-	TNFRSF4	-0.003593	0.000000	NaN
TMSB4X	-	TNFRSF4	-0.007389	0.000000	NaN
TRBV4-1	+	TNFRSF4	0.230470	0.000000	NaN
PTGER4	+	TNFRSF4	0.593876	0.000000	NaN
RHOH	+	TNFRSF4	1.457882	0.000000	NaN
SH2D1A	-	TNFRSF4	-2.392659	0.000000	NaN
NBAS	-	TNFRSF4	-0.418512	0.000000	NaN
CD3E	+	TNFRSF4	2.969744	0.000000	NaN
ALOX5AP	+	TNFRSF4	0.389639	0.000000	NaN
SKAP1	+	TNFRSF4	3.179880	0.000000	NaN
LIME1	+	TNFRSF4	0.713234	0.000000	NaN
TNFRSF4	-	TNFRSF4	-0.001453	0.000000	NaN
SEPT1	+	TNFRSF4	5.105628	0.000000	NaN
TMC8	+	TNFRSF4	0.973382	0.000000	NaN
HLA-DPA1	-	TNFRSF4	-0.002301	0.000000	NaN
IL2RG	+	TNFRSF4	1.852820	0.000000	NaN
GNLY	-	TNFRSF4	-0.027992	0.000000	NaN
CD3G	+	TNFRSF4	2.659293	0.000000	NaN
PTPN7	+	TNFRSF4	2.300964	0.000000	NaN
SIT1	+	TNFRSF4	3.043382	0.000000	NaN
ZFP36L2	+	TNFRSF4	1.735473	0.000000	NaN
TMSB10	-	TNFRSF4	-0.013980	0.000000	NaN
IKZF3	-	TNFRSF4	-3.151362	0.000000	NaN
ITM2A	-	TNFRSF4	-1.655488	0.000000	NaN
TAGAP	-	TNFRSF4	-0.867741	0.000000	NaN
S100A10	+	TNFRSF4	0.039000	0.000000	NaN
TRAC	+	TNFRSF4	3.786982	0.000000	NaN
C12orf75	+	TNFRSF4	2.697746	0.000000	NaN
CD96	-	TNFRSF4	-1.716661	0.000000	NaN
SLC9A3R1	-	TNFRSF4	-1.263072	0.000000	NaN
DUSP2	-	TNFRSF4	-0.089759	0.000000	NaN
SELL	-	TNFRSF4	-0.838953	0.000000	NaN
TRBC1	+	TNFRSF4	4.272366	0.000000	NaN
HLA-DRB5	-	TNFRSF4	-0.003074	0.000000	NaN
CXCR4	+	TNFRSF4	0.005655	0.000000	NaN
SRGN	-	TNFRSF4	-0.029855	0.000000	NaN
RASAL3	+	TNFRSF4	3.144818	0.000000	NaN
LAT	-	TNFRSF4	-0.297549	0.000000	NaN
CD2	+	TNFRSF4	1.875798	0.000000	NaN
IL7R	+	TNFRSF4	1.420279	0.000000	NaN
SYTL1	+	TNFRSF4	1.067673	0.000000	NaN
S100A4	+	TNFRSF4	0.049843	0.000000	NaN
CD40LG	-	TNFRSF4	-0.308190	0.000000	NaN
PTPRCAP	+	TNFRSF4	0.161347	0.000000	NaN
LTB	-	TNFRSF4	-0.429814	0.000000	NaN
GATA3	-	TNFRSF4	-1.413025	0.000000	NaN
LCK	-	TNFRSF4	-2.340608	0.000000	NaN
BATF	-	TNFRSF4	-0.002707	0.000000	NaN
TRBC2	+	TNFRSF4	0.734706	0.000000	NaN
GZMA	-	TNFRSF4	-0.196876	0.000000	NaN
TNFRSF25	+	TNFRSF4	1.251924	0.000000	NaN
KIAA1551	-	TNFRSF4	-0.288623	0.000000	NaN
CXCR3	-	TNFRSF4	-0.925830	0.000000	NaN
DDIT4	+	TNFRSF4	1.238818	0.000000	NaN
TC2N	-	TNFRSF4	-0.121324	0.000000	NaN
GZMM	+	TNFRSF4	3.738530	0.000000	NaN
SH2D2A	-	TNFRSF4	-0.124822	0.000000	NaN
ITK	+	TNFRSF4	2.646161	0.000000	NaN
HLA-DRB1	-	TNFRSF4	-0.002585	0.000000	NaN
TSPAN13	-	TNFRSF4	-0.287005	0.000000	NaN
RGS1	+	TNFRSF4	0.220240	0.000000	NaN
APOBEC3G	-	TNFRSF4	-1.706338	0.000000	NaN
PIM2	+	TNFRSF4	2.589543	0.000000	NaN
TUBA4A	+	TNFRSF4	4.877739	0.000000	NaN
RARRES3	-	TNFRSF4	-1.531600	0.000000	NaN
TCF7	-	TNFRSF4	-1.661500	0.000000	NaN
KLRB1	-	TNFRSF4	-0.374460	0.000000	NaN
GIMAP7	+	TNFRSF4	4.474562	0.000000	NaN
CD247	+	TNFRSF4	2.905406	0.000000	NaN
PGM2L1	+	TNFRSF4	0.477764	0.000000	NaN
CD3D	+	TNFRSF4	3.310234	0.000000	NaN
IL22	-	TNFRSF4	-0.013924	0.000000	NaN
CCL5	-	TNFRSF4	-0.096494	0.000000	NaN
CLEC2D	-	TNFRSF4	-2.079677	0.000000	NaN
CAMK4	+	TNFRSF4	3.651754	0.000000	NaN
TRAV8-2	+	TNFRSF4	3.457139	0.000000	NaN
CD74	-	TNFRSF4	-0.002454	0.000000	NaN
